BRA,PRIV,2014,
BRA,PRIV,2015,
BRA,PRIV,2016,
ISR,PRIV,2013,48.507
ISR,PRIV,2014,48.036
ISR,PRIV,2015,41.611
ISR,PRIV,2016,
HUN,PRIV,2013,36.127
HUN,PRIV,2014,30.324
HUN,PRIV,2015,37.057
HUN,PRIV,2016,
ITA,PRIV,2013,31.722
ITA,PRIV,2014,34.134
ITA,PRIV,2015,35.358
ITA,PRIV,2016,
LUX,PRIV,2013,2.014
LUX,PRIV,2014,4.604
LUX,PRIV,2015,4.286
LUX,PRIV,2016,
NZL,PRIV,2013,48.096
NZL,PRIV,2014,48.967
NZL,PRIV,2015,48.409
NZL,PRIV,2016,
IDN,PRIV,2013,
IDN,PRIV,2014,
IDN,PRIV,2015,23.864
IDN,PRIV,2016,
SVN,PRIV,2013,12.367
SVN,PRIV,2014,13.661
SVN,PRIV,2015,13.026
SVN,PRIV,2016,
ZAF,PRIV,2013,
ZAF,PRIV,2014,
ZAF,PRIV,2015,
ZAF,PRIV,2016,
AUT,PRIV,2013,5.395
AUT,PRIV,2014,5.569
AUT,PRIV,2015,6.231
AUT,PRIV,2016,
CZE,PRIV,2013,19.313
CZE,PRIV,2014,19.942
CZE,PRIV,2015,19.909
CZE,PRIV,2016,
FRA,PRIV,2013,20.777
FRA,PRIV,2014,20.983
FRA,PRIV,2015,20.3
FRA,PRIV,2016,
CHL,PRIV,2013,65.444
CHL,PRIV,2014,62.496
CHL,PRIV,2015,64.339
CHL,PRIV,2016,67.561
SAU,PRIV,2013,
SAU,PRIV,2014,
SAU,PRIV,2015,
SAU,PRIV,2016,
NLD,PRIV,2013,28.831
NLD,PRIV,2014,29.169
NLD,PRIV,2015,29.27
NLD,PRIV,2016,
POL,PRIV,2013,18.971
POL,PRIV,2014,17.895
POL,PRIV,2015,16.176
POL,PRIV,2016,
ESP,PRIV,2013,30.242
ESP,PRIV,2014,31.103
ESP,PRIV,2015,31.798
ESP,PRIV,2016,
TUR,PRIV,2013,23.491
